,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description,ngram
5185,hola amigos de @mega949 me encantaría escuchar #contigo de @kevinroldan saludos desde colombia,es,3.421298498,-76.67783299999999,city,Colombia,,1176512227,723,False,tu,Fri Jul 31 22:19:03 +0000 2015,Cali - Colombia,21 años Coordinadora Nacional @KevinRoIdanFans y Vicepresidenta del  @KRFANSCALI  apoyo incondicional al unico y mejor artista del genero urbano @KEVINROLDAN <U+2665>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15956,hola @oxibucaramanga quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,2823981233.0,2823981233,45,False,tu,Tue Sep 01 21:30:11 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15957,hola @oxigenofm quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:30:30 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15958,hola @lamegabogota quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:30:43 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15959,hola @tropibogota quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:30:59 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15960,hola @los40colombia quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:31:18 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15961,hola @radioondacero quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:31:34 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15962,hola @lqscradio quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:31:47 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15965,hola @lamegacali quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:32:13 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
15968,hola @cocacolafmco quisiera escuchar #contigo de @kevinroldan gracias u2764,es,3.5704285039999997,-76.3486225,city,Colombia,,2823981233,45,False,tu,Tue Sep 01 21:32:26 +0000 2015,,?kevin roldan <U+2661> el mejor exponente de la musica urbana<U+2661> (KRFANSCALI) snap: lauravallejo193 cali - colombia <U+2661>,"('escuchar', '#contigo', 'de', '@kevinroldan')"
