,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description
97,@karomai816 yaaaa la mente pa ti ok no te amo mi negra cvg,es,4.262283503,-74.24367099999999,city,Colombia,2347799508.0,522820815,437,False,tu,Tue Jul 21 20:28:54 +0000 2015,"Barranquilla, Atlántico","Dreams Come True ~ Que Lindo Sería Comer Tierra Juntos, #228"
99,@valentinaaaa también me caes bieny yo a ti bonitaaa lt3,es,5.347185003,-74.5323055,city,Colombia,2945162710.0,1697786910,916,False,tu,Tue Jul 21 20:29:12 +0000 2015,Tintal,"SILVESTRISTA DE CORAZÓN.
¿Okay? Okay,tal vez nuestro okay es nuestro para siempre."
104,@alejandro130499 ella no tiene derecho de cogerte la cola ushh ni a ti ni a nadie sólo a mi ajjaja mentiría,es,4.262283503,-74.24367099999999,city,Colombia,1043445499.0,323537486,576,False,tu,Tue Jul 21 20:32:51 +0000 2015,,"Cali,Girardot,Bogotá    instagram: angeline_712    RM/RIVER/MILLOS    Angie Barona -  Arquitectura  y diseño de interiores 
aldeanos"
109,@krakentitan recupérate pronto mira que aún no tengo una foto contigo,es,3.5704285039999997,-76.3486225,city,Colombia,60208645.0,538767198,2220,False,tu,Tue Jul 21 20:35:30 +0000 2015,Hogwarts ,"Mamá de Motita.| Quien no conoce su historia, está condenado a repetirla... como ley.| Snapchat: soydanielallano. <U+2764>SFDC<U+2764> ?S M I L E R?"
110,me enamore pérdida mente de ti @sinpalabras,es,4.448673,-75.3155775,city,Colombia,,1363213820,1185,False,tu,Tue Jul 21 20:38:02 +0000 2015,"Tolima, Colombia",EL TRUCO ESTA EN SER MAS INTELIGENTE QUE BONITA *-*
111,@mikaamione a ti te quiero,es,4.262283503,-74.24367099999999,city,Colombia,573326603.0,2753410639,1014,False,tu,Tue Jul 21 20:38:07 +0000 2015,Colombia ,... paso a paso iré y PERSISTIRÉ a cualquier distancia YO MI SUEÑO ALCANZARÉ! <U+2665>Abrahamer&Lericana&Karol G&Todo Con Dios
114,@zaynmalik fui gay con una persona que no eres tu y contigo casi nunca soy gay y cuando lo soy que ganas de pegarme puedes creer eso,es,4.262283503,-74.24367099999999,city,Colombia,176566242.0,718887992,6321,False,tu,Tue Jul 21 20:40:02 +0000 2015,ZaynTo15M ,"I ain't gonna never stop lovin zayn, bitchhh"
116,@leidycadena14 @linaaa6 @mariacamiila tú tranquila que aquí felices,es,4.262283503,-74.24367099999999,city,Colombia,378894378.0,251896885,513,False,tu,Tue Jul 21 20:40:20 +0000 2015,"Bogotá, Colombia",Este amor es azul como @MillosFCoficial. Cruelty free. Finanzas y Comercio exterior.
118,tú y tus besos tu sonrisa tus celos tus cachetes tu locura tus abrazos tus caricias tu mirada me encantan @johangarcia96,es,7.063666499,-73.0964135,city,Colombia,,1275138882,84,False,tu,Tue Jul 21 20:41:45 +0000 2015,Colombia,Yo creó que yo en otra vida fui del FBI
121,@baqueroscar canta conmigo hermano dale duro a esa pandereta cree en ti señor no morirá para siempre,es,4.811547,-75.6123815,city,Colombia,365792524.0,1425639174,28571,False,tu,Tue Jul 21 20:43:15 +0000 2015,"Pereira, risaralda",Caricaturista...y alienígena mutante.
151,@luisafernandaw lo que vale es el significado que tenga para ti además es único muy lindo,es,3.3641819969999998,-76.49608,city,Colombia,322233594.0,351128862,273,False,tu,Tue Jul 21 21:01:33 +0000 2015,Colombia,"JUST DO IT. Cali, Colombia ? MTB ? U23 Believe in your dreams!<U+263A><U+FE0F> Instagram: vgarciar1"
152,@luzo es un amor gracias bienvenida tú también,es,6.270882997999999,-75.619213,city,Colombia,88354906.0,106131505,1818,False,tu,Tue Jul 21 21:01:52 +0000 2015,Barranquilla - Medellín. Col.,En defensa permanente del sabor y la queridura en todas sus manifestaciones.
173,no tengo ojos para nadie solo para ti @andersbb16,es,10.95807288,-74.849933,city,Colombia,,3353170773,92,False,tu,Tue Jul 21 21:15:34 +0000 2015,,"Cuenta nueva, Rosario & Carmen 
Anderson Buitrago #30 <U+2606>"
182,@tochy28 yo pensé en algo que solía fumar pero sospecho que tú pensaste en otra cosa porque no tienes cara de eso,es,10.39044865,-75.5496353,city,Colombia,178933780.0,139743047,128,False,tu,Tue Jul 21 21:20:24 +0000 2015,Lejos de la Ciudad Carrusel,Un lector errante de gustos banales y poco interesante. También escribe.
187,@orgulloanahibr mil gracias a ti por siempre ayudarme eres un amor dios te bendiga,es,4.0882915,-73.4704055,city,Colombia,401535963.0,566608022,5840,False,tu,Tue Jul 21 10:25:54 +0000 2015,Colombia,"Twitter dedicado a la actriz, cantante, modelo, compositora y empresaria mexicana Anahi. ¡Anahi me dio RT el 7/05/2015 y me sigue desde el 20/07/2015!<U+2764><U+FE0F>"
197,@omarandres69 exitos colega en tu primer día que dios derrame muchas bendiciones sobre ti,es,7.063666499,-73.0964135,city,Colombia,253671213.0,581410469,134,False,tu,Tue Jul 21 11:02:56 +0000 2015,,"Administración de Negocios Internacionales - Ingeniería Industrial  







|E&B| <U+2764><U+2764>
Snapchat: Brenvera26"
200,teamoparaamarteynoparaseramadopuestoquenadameplacetantocomoverteatifeliz vía @proverbianet,es,8.595296501,-75.9554105,city,Colombia,,3129206279,86,False,tu,Tue Jul 21 11:07:33 +0000 2015,,
206,despertar pensando en ti @lanch1803,es,10.39044865,-75.5496353,city,Colombia,,191841639,235,False,tu,Tue Jul 21 12:55:41 +0000 2015,Cartagena - Colombia,"I Love Odontología 
My B-Day 05/Oct. =) Snapchat: cindyhdezz05"
212,se q toda colombia esta contigo apoyandote todos #unidosenoración #fuerzasofi @caritosoto1 @pipebueno @melissagiraldo1,es,11.2312007,-72.994963,city,Colombia,,171937150,107,False,tu,Tue Jul 21 13:02:47 +0000 2015,,amo mi Dios mi familia amo ser silvestrista
215,@limedesmolinau @interpolitico tal cual pero tú sabes que loro viejo no aprende a hablar ni dentro ni fuera de cabina,es,10.324450500000001,-73.463286,city,Colombia,460762184.0,181992784,1979,False,tu,Tue Jul 21 13:06:55 +0000 2015,"Valledupar, Colombiai","Comunicadora Social y Periodista por estudios y gusto, solo creo en Dios y en mi familia."
216,@limoneth a estas alturas contigo ya no sé nada por eso sí tengo que dejarlo claro y en cuanto a lo otro no te lo voy a decir por acá,es,4.262283503,-74.24367099999999,city,Colombia,146050659.0,65991312,1567,False,tu,Tue Jul 21 13:07:23 +0000 2015,SPAM - AB/CD,Esta BIO se cambiará el día que echen a Wenger. No soy el hijo del Bolillo
220,@baqueroscar repite conmigo hermano cree en ti señor no morirá para siempre,es,4.811547,-75.6123815,city,Colombia,365792524.0,1425639174,28532,False,tu,Tue Jul 21 13:16:45 +0000 2015,"Pereira, risaralda",Caricaturista...y alienígena mutante.
222,@mateoquito39 jajaja no mientas de ti no me río,es,4.909635999,-74.0487635,city,Colombia,513965542.0,586238958,336,False,tu,Tue Jul 21 13:17:37 +0000 2015,,
227,@jesusmadero19 @diarioas dr acuerdo contigo @ddegea no es nada al lado de @thibautcourtois y de @manuelneuer es un pobre rogado,es,8.075581893999999,-72.4770928,city,Colombia,246356070.0,315909456,114,False,tu,Tue Jul 21 13:21:27 +0000 2015,"Cúcuta, colombia","DEPORTES:Fútbol El Mejor 
                   Selección Colombia 
                  Real Madrid Mejor Club 
Apoyando el talento colombiano"
229,feliz inicio de semana para ti @vengayledig0,es,4.262283503,-74.24367099999999,city,Colombia,487252319.0,216831559,550,False,tu,Tue Jul 21 13:26:29 +0000 2015,COLoMBiA,"...Amo ser mamá de Nataly y Angie // La Profe  aunque no lo parezca, la mil jetas, lo siento si les aburre!"
232,@minombreesz pri tú si eres misántropo cambia,es,10.39044865,-75.5496353,city,Colombia,190495699.0,427061585,208,False,tu,Tue Jul 21 13:28:47 +0000 2015,"Cartagena, Colombia",
236,ay @thisisanitaa que felicidad por ti yo preferí tm que bus y que mala decisión fue eso,es,4.262283503,-74.24367099999999,city,Colombia,187294178.0,225032286,241,False,tu,Tue Jul 21 13:36:44 +0000 2015,Colombia,"Auxiliar de Farmacia. #SENA
Terapeuta respiratoria en Formación. #FUAA"
239,@cajb1924 jajajaja malparida respetamr jajaja eso es por andar contigo jaja se me pego,es,5.6807670020000005,-73.7821515,city,Colombia,984928874.0,2719823889,325,False,tu,Tue Jul 21 19:07:23 +0000 2015,,
243,@dimjuanfer sabes que estaré contigote agradezco tanto mi amor,es,6.270882997999999,-75.619213,city,Colombia,1355686784.0,465590356,1275,False,tu,Tue Jul 21 19:07:58 +0000 2015,,
246,@lankap hey te tengo una amiga que se esta peleando por ti te desea demasiado te voy a dar el numero,es,10.95807288,-74.849933,city,Colombia,823674451.0,778711633,439,False,tu,Tue Jul 21 19:08:31 +0000 2015,,insta: alejandrarizo_
252,@kevinagalvis te amo doblemente mi amor también te extraño demasiado el mejor del mundo eres tú,es,4.567087498,-75.6021415,city,Colombia,747760608.0,853865274,1114,False,tu,Tue Jul 21 19:10:45 +0000 2015,Armenia - Colombia ,"Because nothing makes me happier, and nothing makes me sadder than you.

16/11/14 <U+2693>"
255,a esta hora sintonizate en tú magazin informativo #desamarioasamario por @radiogaleon 890 am,es,11.07346239,-73.92732164,city,Colombia,,2817072860,972,False,tu,Tue Jul 21 19:11:42 +0000 2015,,
256,#dalereplayaestacansion solo te canto a ti @isacastillo7,es,4.262283503,-74.24367099999999,city,Colombia,,1541832319,2271,False,tu,Tue Jul 21 19:11:56 +0000 2015,"Bogotá, Colombia/ Vegetta777","Isabella Castillo La chica que me inspira a soñar y creer en mis sueños la amo y la apoyare por siempre XoXo, Rusher de corazon (James.carlos,kendall, y logan)"
274,te elegí a ti @elugo91 u2764,es,9.315605496,-75.434214,city,Colombia,,320994793,204,False,tu,Tue Jul 21 19:22:32 +0000 2015,,"Mi muro es solo un cuaderno de ocurrencias, no un reflejo de mis sentimientos o de mi vida personal.                            Mucha mas vida que el vino."
275,me quedare chateando contigo @cesarjaimes40,es,10.90063338,-74.65783138,city,Colombia,,1597099388,155,False,tu,Tue Jul 21 19:22:34 +0000 2015,,"Me hago responsable de lo que digo, no de lo que entiendas.--- http://facebook.com/lorena.oviedo.5"
285,@bucaramega recomendado llevame contigo @romeosantospage si le gusta dale play en la mega bucaramanga,es,7.063666499,-73.0964135,city,Colombia,52416144.0,2220574726,89,False,tu,Wed Jul 22 19:05:27 +0000 2015,"Bucaramanga, Santander","Sigueme y te Sigo
Instagram: andrespedraza90 
Whatsapp: 3107355648"
292,@fuegoespacio hola tengo una pregunta para ti puedes seguirme para comunicarme por mensaje interno gracias,es,6.270882997999999,-75.619213,city,Colombia,960787999.0,752440910,70,False,tu,Wed Jul 22 19:10:30 +0000 2015,San Juan de Pasto,"Ingeniera Química, Esp. en Dirección de Producción y Operaciones, Amante del fútbol, y por supuesto hincha del mejor equipo de Colombia, Deportivo Pasto Carajo!"
302,@embajadorasoy creo que te diste cuenta lo mucho que te extrañolo mucho que me duele estar sin ti,es,4.262283503,-74.24367099999999,city,Colombia,388034480.0,388546199,1468,False,tu,Wed Jul 22 19:15:19 +0000 2015,,
303,@lauraosorio2097 perdón yo no estoy tratando poder contigo lo siento ahh y otra vez copiona de nada,es,3.5704285039999997,-76.3486225,city,Colombia,998505212.0,267950321,1142,False,tu,Wed Jul 22 19:15:25 +0000 2015,,"Medicina, ICESI"
306,bueno rumberos ya estoy al aire en #larumbamellama reporta tu fiel sintonía a los 975 fm de @rumbastmonteria @yurledj contigo rumba,es,8.299532998,-75.583163,city,Colombia,,2402236622,694,False,tu,Wed Jul 22 19:16:59 +0000 2015,,EL SISTEMA CROSSOVER JUVENIL MAS IMPORTANTE DE COLOMBIA LLEGA A MONTERIA !!! RUMBA ST CORDOBA - 97.5 FM
315,@tr4iner hola anthony quiero felicitarte por esos grandes videos y quisiera saber como puedo adquirir un plan de entrenamiento hecho por ti,es,2.437771999,-76.6415,city,Colombia,1044918499.0,284714943,374,False,tu,Wed Jul 22 19:22:48 +0000 2015,POPAYAN CAUCA,TROMPETISTA ... BB PIN 7906E770 WHATSAPP 3145290745 ...
316,@d0nhijueputa otro hp como tú yo dudó mucho que nazca,es,10.95807288,-74.849933,city,Colombia,2658466429.0,2973215494,38,False,tu,Wed Jul 22 19:23:49 +0000 2015,,Enamorate de quien acepte tus locuras.
317,es que me acostumbro a ti yo sin ti no se vivir por favor vuelve a mi para yo poder ser feliz @camiloesmeral,es,10.95807288,-74.849933,city,Colombia,,1223223260,662,False,tu,Wed Jul 22 19:24:12 +0000 2015,,"Caea&Cadc<U+2764><U+270C>
Instagram: Carolaydiaz10"
320,@712cristian corazón un saludo para ti,es,6.270882997999999,-75.619213,city,Colombia,1322864521.0,383039500,1014,False,tu,Wed Jul 22 19:24:49 +0000 2015,"medellin,colombia","Dios ,familia .alegré, perseverante estudiante administración de empresas amante al buen fútbol y al baile hincha del C.A.N  extremadamente loca"
323,@javielmonito estoy soltera y con que me compres chocolates estoy para ti toda la vida jajajajaja,es,3.8624294960000003,-74.90396199999999,city,Colombia,106558064.0,590445094,361,False,tu,Wed Jul 22 19:26:55 +0000 2015,Ibague ,A Dios todo le debo<U+2764>
335,@bleidejudith @camiladuran18 linda tú,es,9.8385245,-75.1186235,city,Colombia,900545132.0,1531507358,196,False,tu,Wed Jul 22 19:31:18 +0000 2015,,Creo y soy testigo del poder de Dios.Colombia. San Jacinto. Snap: Elizabeth_od. Ins: Elizabethortega09
344,@luisarias02 yo me aterro contigo que te echas jajajaja,es,4.812912999,-75.73750600000001,city,Colombia,3352433847.0,152051098,344,False,tu,Wed Jul 22 19:39:20 +0000 2015,Pereira,
347,#felizmiercoles @gusimusica dios te bendiga besos para ti,es,4.262283503,-74.24367099999999,city,Colombia,,2173087741,18,False,tu,Wed Jul 22 19:40:09 +0000 2015,,NACI ÈL 14 DE ABRIL DE 1985 MI NUMERO DE CELULAR ES 3134433104 SOY ADMIRADORA FAN Y SEGUIDORA DE ANDRÈS ACOSTA <U+2665> http://gusimusica.com
349,@laura8lr me dijo tú tendrás amores pero fortuna no tendrás ninguna,es,3.5704285039999997,-76.3486225,city,Colombia,107807638.0,173169164,498,False,tu,Wed Jul 22 19:41:02 +0000 2015,"Cali, Colombia",Deportivo Cali <U+26BD>9<U+20E3> Economía-Univalle. A Dios gracias por todo. instagram/snapchat: AFJR27
354,@mariobautista mi amor por ti nunca se acabara,es,4.262283503,-74.24367099999999,city,Colombia,150003563.0,2267753596,147,False,tu,Wed Jul 22 19:43:43 +0000 2015,Colombia,"hay una fisura,una grieta en todo, así es como entra la luz-como no amarlos: @villalobossebas<U+2665>@mariobautista_ <U+2665>@SebasArango<U+2665>@Soymarioruiz<U+2665>soy #pdc #Bautisters"
372,@jaimecamil aunque mi saludo pase desapercibido entre los demas mis mejores deseos para ti en este dia te amo saludos desde colombia dtb,es,3.2011834969999997,-76.74135600000001,city,Colombia,109118967.0,924285097,369,False,tu,Wed Jul 22 19:50:35 +0000 2015,colombia ,PROM 2015 / Jaime Camil<U+2764> / Marlene Favela/ Angelica Vale/ Paty navidad/ Demi Lovato
394,volar contigo muy alto en algún lugar #bajoelagua @manuelmdrano amo la letra de tu canción,es,8.075581893999999,-72.4770928,city,Colombia,,281870212,247,False,tu,Wed Jul 22 19:59:56 +0000 2015,Valledupar-Cucuta,Better Things are Coming !!!
398,@danicooll contigo también beberelaxrelax,es,7.144792999,-73.132697,city,Colombia,502283384.0,288457876,707,False,tu,Wed Jul 22 20:01:33 +0000 2015,Una pieza del cubo.,26/06/15.
403,@camilapardo10 a mi también me gusta estar contigo mentiraaash pero shi,es,4.262283503,-74.24367099999999,city,Colombia,768166142.0,388546199,1470,False,tu,Wed Jul 22 20:05:42 +0000 2015,,
411,@teog29 buena esa juniorista desde colombia te deseo muchisimos exitos y para ti es fasil triunfar porque eres un crac,es,4.262283503,-74.24367099999999,city,Colombia,451075784.0,713304901,3,False,tu,Wed Jul 22 20:09:15 +0000 2015,,
422,@renzoangeloni jajajajajaja esto es mas tú que encontrarte a la gente del kiosko,es,10.95807288,-74.849933,city,Colombia,32947898.0,450149939,231,False,tu,Wed Jul 22 20:14:34 +0000 2015,,
423,@chayannemusic @caracol1260 @chayannecolombia #teamaremossiemprechayanne la miniconga viene contigo,es,4.262283503,-74.24367099999999,city,Colombia,29749448.0,607671955,48,False,tu,Wed Jul 22 20:15:40 +0000 2015,,
427,@chayannemusic @elgordoylaflaca @tanyacharry gracias por tanto para chayanne dios los bendiga colombia espera ansiosa por ti mi príncipe,es,4.262283503,-74.24367099999999,city,Colombia,29749448.0,607671955,48,False,tu,Wed Jul 22 20:17:05 +0000 2015,,
432,ya viste el video de mi gente contigo me siento bien de @bigyamooficial,es,10.39044865,-75.5496353,city,Colombia,,266876497,728,False,tu,Wed Jul 22 12:44:31 +0000 2015,Cartagena,Abogada - Especialista en responsabilidad civil y del Estado y  Derecho Administrativo - Hermana de BigYamo Mr. Elegante RAPERA LIL JAY
434,video @youtube de @bigyamooficial contigo me siento bien sabor cartagenero con talento local @iculturbolivar @eliasbarrios3 @jcgossain,es,4.262283503,-74.24367099999999,city,Colombia,,803515166,854,False,tu,Wed Jul 22 12:46:32 +0000 2015,Colombia,Dios es mi fuerza!!
446,@javierjmed hola javi igual para ti,es,4.262283503,-74.24367099999999,city,Colombia,268571163.0,919923841,1544,False,tu,Wed Jul 22 12:54:54 +0000 2015,Bogotá * Colombia,"Modelo 82 <U+2734> Diseñador, Creativo y Publicista * la cotidianidad tiene su magia * Instagram: muy_casual"
449,recomiendo ver en @youtube video de @bigyamooficial contigo me siento bien con aporte de talentos locales merecen apoyo @nadiablel,es,4.262283503,-74.24367099999999,city,Colombia,,803515166,854,False,tu,Wed Jul 22 12:57:57 +0000 2015,Colombia,Dios es mi fuerza!!
453,@laubello28 teoría jurídicametodología y a ti,es,5.083482498,-73.9911015,city,Colombia,346209137.0,311067947,643,False,tu,Wed Jul 22 13:01:36 +0000 2015,Colombia,"@MillosFCoficial , @realmadrid , @CARPoficial WA 312 355 4860
Universidad Militar Nueva Granada - Derecho 04 <U+2764>"
454,@eretrasado te parto ese culon a ti y a tu abuelon,es,10.95807288,-74.849933,city,Colombia,3383432290.0,1087769466,1668,False,tu,Wed Jul 22 13:01:56 +0000 2015,,God<U+2728>
457,hay algo en ti que me resulta adictivo quizás sea tu sonrisa o tu mirada o tus labios o todo junto me enamora @naidelinecomas te amo #19,es,10.8392125,-74.814403,city,Colombia,,516789627,150,False,tu,Wed Jul 22 13:08:12 +0000 2015,santa marta,estudiante de HOTELERIA Y TURISMOS ME GUSTA y esto enamorado de NAY  SOY PARRANDERO BUEN AMIGO Y SOY SILVESTRISTA DE 3 SOY DE LA TIERRA MAS LINDA SANTO TOMAS
463,@senaldeportes arriba nairoman vamos por la amarilla toda colombia estamos contigo #fuerzacolombia,es,4.754056497,-74.26612800000001,city,Colombia,628698800.0,332900397,17,False,tu,Wed Jul 22 13:15:03 +0000 2015,Madrid Cundinamarca,
464,@nicocrux como siempre tú tan lindo amigo del alma te quiero mucho,es,4.262283503,-74.24367099999999,city,Colombia,53235170.0,177005997,2201,False,tu,Wed Jul 22 13:15:37 +0000 2015,,"Comunicadora Social Universidad de la Sabana. Especialista en Comunicación Estratégica. CM en @eSmartDgtl   Amante de las RRPP .Estratega, emotiva y sociable"
466,@senaldeportes arriba nairoman vamos por la amarilla toda colombia estamos contigo desde madrid cundinamarca #fuerzacolombia,es,4.754056497,-74.26612800000001,city,Colombia,628698800.0,332900397,17,False,tu,Wed Jul 22 13:16:00 +0000 2015,Madrid Cundinamarca,
470,@majosolano tal vez tú si tienes facebook muéstrale quíenes somos y cómo estamos trabajando por cartagena,es,10.39044865,-75.5496353,city,Colombia,171290548.0,224695393,4386,False,tu,Wed Jul 22 13:18:52 +0000 2015,"Cartagena, Colombia. ",Aspirante a la Alcaldía de Cartagena.
471,@senalcolombia vamos paisanito la virgencita del topo contigo,es,5.591588001,-73.2931895,city,Colombia,50562028.0,349885556,178,False,tu,Wed Jul 22 13:19:27 +0000 2015,Tunja Boyacá Colombia,
479,@evelynocampo961 cumple tus sueños no por los demás hazlo principal y exclusivamente por ti,es,6.139383498,-75.590644,city,Colombia,3373682757.0,3366261321,11,False,tu,Wed Jul 22 13:31:06 +0000 2015,"Envigado, Antioquia",
484,ya casi de nuevo junto a ti @gaboreyes99,es,4.448673,-75.3155775,city,Colombia,,538680030,66,False,tu,Wed Jul 22 13:38:01 +0000 2015,,Ingeniera Civil- Coordinadora HSEQ Asbuilt Ingenieros<U+2661> De la mano de DIOS!
485,espero el 21 de agosto estar contigo @pipebueno #bucaramanga,es,7.144792999,-73.132697,city,Colombia,,138156962,510,False,tu,Wed Jul 22 13:40:44 +0000 2015,Bucaramanga,"Abogada. ~Condescendiente & Uribista 
<U+2764> <U+273F> ¦¦¦¦¦¦¦¦¦¦¦¦¦¦¦®"
486,@senaldeportes vamos nairo desde villavicencio contigo #fuerzacolombia @senaldeportes @senalcolombia,es,4.0882915,-73.4704055,city,Colombia,628698800.0,374528210,63,False,tu,Wed Jul 22 13:41:50 +0000 2015,Villavicencio,"Administradora de Negocios internacionales, feliz y siempre confiando en Dios..."
489,@ashelyxmarie y yo a ti,es,10.95807288,-74.849933,city,Colombia,2891190938.0,2545009148,926,False,tu,Wed Jul 22 13:45:10 +0000 2015,,"Amor por siempre al futbol<U+26BD>.
Wapp 3043590130 Snap: Jaramillo-dani"
491,@andreagomezmej1 todos los días mas y mas enamorado de ti mi vida u2764ufe0f eres mi felicidad,es,6.360579502999999,-75.606961,city,Colombia,3102326928.0,1969582771,20,False,tu,Wed Jul 22 13:47:09 +0000 2015,,
493,@catherinecruzb es todo un placer compartir contigo sobre #marketingdigital #google cc @realwarela,es,4.262283503,-74.24367099999999,city,Colombia,84142419.0,127227408,611,False,tu,Wed Jul 22 18:17:41 +0000 2015,Colombia,"Empresario Emprendedor, Ingeniero Informático, Marketing SEO, Apasionado por la Tecnología, Marketing Online y el Fútbol, me encanta Viajar por el Mundo !!!"
496,hola @oxibucaramanga quisiera escuchar #contigo lo nuevo de @kevinroldan que tengan lindo díau 2665,es,3.421298498,-76.67783299999999,city,Colombia,,389056986,751,False,tu,Wed Jul 22 18:19:15 +0000 2015,Cali - Colombia,Presidenta del @KRFANSCALI apoyo incondicional a @KEVINROLDAN               Instagram: andrecardonav                     http://ask.fm/AndreaCardonaV
